更新日期及時間（以本地時間表示）,完結日期及時間（以本地時間表示）,緯度（度）,經度（度）,臨近預測半小時累計雨量（毫米）
202608021500,202608021530,23.487,114.357,0.12
202608021500,202608021530,23.487,114.377,0.04
202608021500,202608021530,23.487,114.396,0.01
202608021500,202608021530,23.487,114.416,0.00
202608021500,202608021530,23.487,114.435,0.00
202608021500,202608021530,23.487,114.454,0.03
202608021500,202608021530,23.487,114.474,0.12
202608021500,202608021530,23.487,114.493,0.17
202608021500,202608021530,23.487,114.513,0.14
202608021500,202608021530,23.487,114.532,0.09
202608021500,202608021530,23.487,114.552,0.09
202608021500,202608021530,23.487,114.571,0.12
202608021500,202608021530,23.487,114.591,0.17
202608021500,202608021530,23.487,114.610,0.29
202608021500,202608021530,23.487,114.630,0.59
202608021500,202608021530,23.487,114.649,0.69
202608021500,202608021530,23.487,114.669,0.67
202608021500,202608021530,23.487,114.688,0.70
202608021500,202608021530,23.487,114.707,0.47
202608021500,202608021530,23.487,114.727,0.10
202608021500,202608021530,23.487,114.746,0.04
202608021500,202608021530,23.487,114.766,0.07
202608021500,202608021530,23.487,114.785,0.12
202608021500,202608021530,23.487,114.805,0.07
202608021500,202608021530,23.487,114.824,0.00
202608021500,202608021530,23.487,114.844,0.00
202608021500,202608021530,23.487,114.863,0.00
202608021500,202608021530,23.487,114.883,0.00
202608021500,202608021530,23.487,114.902,0.00
202608021500,202608021530,23.487,114.921,0.01
202608021500,202608021530,23.487,114.941,0.03
202608021500,202608021530,23.487,114.960,0.04
202608021500,202608021530,23.487,114.980,0.02
202608021500,202608021530,23.487,114.999,0.01
202608021500,202608021530,23.487,115.019,0.00
202608021500,202608021530,23.487,115.038,0.02
202608021500,202608021530,23.487,115.058,0.03
202608021500,202608021530,23.487,115.077,0.07
202608021500,202608021530,23.487,115.097,0.17
202608021500,202608021530,23.487,115.116,0.27
202608021500,202608021530,23.487,115.135,0.41
202608021500,202608021530,23.487,115.155,0.45
202608021500,202608021530,23.487,115.174,0.33
202608021500,202608021530,23.487,115.194,0.14
202608021500,202608021530,23.487,115.213,0.05
202608021500,202608021530,23.487,115.233,0.02
202608021500,202608021530,23.487,115.252,0.00
202608021500,202608021530,23.487,115.272,0.00
202608021500,202608021530,23.487,115.291,0.00
202608021500,202608021530,23.469,112.956,0.18
202608021500,202608021530,23.469,112.976,0.31
202608021500,202608021530,23.469,112.995,0.45
202608021500,202608021530,23.469,113.015,0.50
202608021500,202608021530,23.469,113.034,0.46
202608021500,202608021530,23.469,113.054,0.50
202608021500,202608021530,23.469,113.073,0.49
202608021500,202608021530,23.469,113.093,0.45
202608021500,202608021530,23.469,113.112,0.69
202608021500,202608021530,23.469,113.131,1.26
202608021500,202608021530,23.469,113.151,1.81
202608021500,202608021530,23.469,113.170,2.22
202608021500,202608021530,23.469,113.190,2.16
202608021500,202608021530,23.469,113.209,2.20
202608021500,202608021530,23.469,113.229,1.79
202608021500,202608021530,23.469,113.248,1.46
202608021500,202608021530,23.469,113.268,2.20
202608021500,202608021530,23.469,113.287,2.36
202608021500,202608021530,23.469,113.307,2.36
202608021500,202608021530,23.469,113.326,5.26
202608021500,202608021530,23.469,113.345,8.43
202608021500,202608021530,23.469,113.365,12.90
202608021500,202608021530,23.469,113.384,8.87
202608021500,202608021530,23.469,113.404,2.28
202608021500,202608021530,23.469,113.423,0.58
202608021500,202608021530,23.469,113.443,0.14
202608021500,202608021530,23.469,113.462,0.08
202608021500,202608021530,23.469,113.482,0.04
202608021500,202608021530,23.469,113.501,0.02
202608021500,202608021530,23.469,113.521,0.12
202608021500,202608021530,23.469,113.540,0.77
202608021500,202608021530,23.469,113.560,1.97
202608021500,202608021530,23.469,113.579,3.22
202608021500,202608021530,23.469,113.598,2.04
202608021500,202608021530,23.469,113.618,1.61
202608021500,202608021530,23.469,113.637,2.04
202608021500,202608021530,23.469,113.657,1.30
202608021500,202608021530,23.469,113.676,0.39
202608021500,202608021530,23.469,113.696,0.06
202608021500,202608021530,23.469,113.715,0.01
202608021500,202608021530,23.469,113.735,0.01
202608021500,202608021530,23.469,113.754,0.04
202608021500,202608021530,23.469,113.774,0.11
202608021500,202608021530,23.469,113.793,0.36
202608021500,202608021530,23.469,113.812,0.60
202608021500,202608021530,23.469,113.832,0.55
202608021500,202608021530,23.469,113.851,0.55
202608021500,202608021530,23.469,113.871,1.06
202608021500,202608021530,23.469,113.890,1.53
202608021500,202608021530,23.469,113.910,1.71
202608021500,202608021530,23.469,113.929,1.75
202608021500,202608021530,23.469,113.949,1.62
202608021500,202608021530,23.469,113.968,1.28
202608021500,202608021530,23.469,113.988,0.84
202608021500,202608021530,23.469,114.007,0.57
202608021500,202608021530,23.469,114.026,0.72
202608021500,202608021530,23.469,114.046,0.85
202608021500,202608021530,23.469,114.065,0.70
202608021500,202608021530,23.469,114.085,0.23
202608021500,202608021530,23.469,114.104,0.10
202608021500,202608021530,23.469,114.124,0.03
202608021500,202608021530,23.469,114.143,0.00
202608021500,202608021530,23.469,114.163,0.02
202608021500,202608021530,23.469,114.182,0.52
202608021500,202608021530,23.469,114.202,1.05
202608021500,202608021530,23.469,114.221,2.98
202608021500,202608021530,23.469,114.240,3.93
202608021500,202608021530,23.469,114.260,0.95
202608021500,202608021530,23.469,114.279,0.10
202608021500,202608021530,23.469,114.299,0.09
202608021500,202608021530,23.469,114.318,0.18
202608021500,202608021530,23.469,114.338,0.22
202608021500,202608021530,23.469,114.357,0.11
202608021500,202608021530,23.469,114.377,0.05
202608021500,202608021530,23.469,114.396,0.01
202608021500,202608021530,23.469,114.416,0.00
202608021500,202608021530,23.469,114.435,0.00
202608021500,202608021530,23.469,114.454,0.02
202608021500,202608021530,23.469,114.474,0.12
202608021500,202608021530,23.469,114.493,0.20
202608021500,202608021530,23.469,114.513,0.17
202608021500,202608021530,23.469,114.532,0.07
202608021500,202608021530,23.469,114.552,0.04
202608021500,202608021530,23.469,114.571,0.08
202608021500,202608021530,23.469,114.591,0.15
202608021500,202608021530,23.469,114.610,0.20
202608021500,202608021530,23.469,114.630,0.32
202608021500,202608021530,23.469,114.649,0.45
202608021500,202608021530,23.469,114.669,0.67
202608021500,202608021530,23.469,114.688,0.83
202608021500,202608021530,23.469,114.707,0.58
202608021500,202608021530,23.469,114.727,0.17
202608021500,202608021530,23.469,114.746,0.07
202608021500,202608021530,23.469,114.766,0.03
202608021500,202608021530,23.469,114.785,0.03
202608021500,202608021530,23.469,114.805,0.01
202608021500,202608021530,23.469,114.824,0.00
202608021500,202608021530,23.469,114.844,0.00
202608021500,202608021530,23.469,114.863,0.00
202608021500,202608021530,23.469,114.883,0.00
202608021500,202608021530,23.469,114.902,0.00
202608021500,202608021530,23.469,114.921,0.00
202608021500,202608021530,23.469,114.941,0.02
202608021500,202608021530,23.469,114.960,0.02
202608021500,202608021530,23.469,114.980,0.01
202608021500,202608021530,23.469,114.999,0.00
202608021500,202608021530,23.469,115.019,0.00
202608021500,202608021530,23.469,115.038,0.00
202608021500,202608021530,23.469,115.058,0.00
202608021500,202608021530,23.469,115.077,0.03
202608021500,202608021530,23.469,115.097,0.11
202608021500,202608021530,23.469,115.116,0.19
202608021500,202608021530,23.469,115.135,0.35
202608021500,202608021530,23.469,115.155,0.45
202608021500,202608021530,23.469,115.174,0.39
202608021500,202608021530,23.469,115.194,0.24
202608021500,202608021530,23.469,115.213,0.11
202608021500,202608021530,23.469,115.233,0.03
202608021500,202608021530,23.469,115.252,0.01
202608021500,202608021530,23.469,115.272,0.00
202608021500,202608021530,23.469,115.291,0.00
202608021500,202608021530,23.451,112.956,0.14
202608021500,202608021530,23.451,112.976,0.18
202608021500,202608021530,23.451,112.995,0.19
202608021500,202608021530,23.451,113.015,0.23
202608021500,202608021530,23.451,113.034,0.28
202608021500,202608021530,23.451,113.054,0.37
202608021500,202608021530,23.451,113.073,0.38
202608021500,202608021530,23.451,113.093,0.46
202608021500,202608021530,23.451,113.112,0.78
202608021500,202608021530,23.451,113.131,1.44
202608021500,202608021530,23.451,113.151,2.03
202608021500,202608021530,23.451,113.170,2.17
202608021500,202608021530,23.451,113.190,1.74
202608021500,202608021530,23.451,113.209,1.23
202608021500,202608021530,23.451,113.229,0.74
202608021500,202608021530,23.451,113.248,1.04
202608021500,202608021530,23.451,113.268,2.75
202608021500,202608021530,23.451,113.287,3.01
202608021500,202608021530,23.451,113.307,1.86
202608021500,202608021530,23.451,113.326,1.97
202608021500,202608021530,23.451,113.345,2.08
202608021500,202608021530,23.451,113.365,2.68
202608021500,202608021530,23.451,113.384,2.87
202608021500,202608021530,23.451,113.404,1.36
202608021500,202608021530,23.451,113.423,0.76
202608021500,202608021530,23.451,113.443,0.36
202608021500,202608021530,23.451,113.462,0.21
202608021500,202608021530,23.451,113.482,0.17
202608021500,202608021530,23.451,113.501,0.10
202608021500,202608021530,23.451,113.521,0.10
202608021500,202608021530,23.451,113.540,0.31
202608021500,202608021530,23.451,113.560,0.75
202608021500,202608021530,23.451,113.579,1.84
202608021500,202608021530,23.451,113.598,2.77
202608021500,202608021530,23.451,113.618,3.56
202608021500,202608021530,23.451,113.637,3.76
202608021500,202608021530,23.451,113.657,2.13
202608021500,202608021530,23.451,113.676,0.73
202608021500,202608021530,23.451,113.696,0.22
202608021500,202608021530,23.451,113.715,0.03
202608021500,202608021530,23.451,113.735,0.00
202608021500,202608021530,23.451,113.754,0.00
202608021500,202608021530,23.451,113.774,0.01
202608021500,202608021530,23.451,113.793,0.03
202608021500,202608021530,23.451,113.812,0.09
202608021500,202608021530,23.451,113.832,0.16
202608021500,202608021530,23.451,113.851,0.21
202608021500,202608021530,23.451,113.871,0.45
202608021500,202608021530,23.451,113.890,0.81
202608021500,202608021530,23.451,113.910,1.03
202608021500,202608021530,23.451,113.929,0.97
202608021500,202608021530,23.451,113.949,1.11
202608021500,202608021530,23.451,113.968,1.12
202608021500,202608021530,23.451,113.988,0.84
202608021500,202608021530,23.451,114.007,0.50
202608021500,202608021530,23.451,114.026,0.58
202608021500,202608021530,23.451,114.046,0.76
202608021500,202608021530,23.451,114.065,0.66
202608021500,202608021530,23.451,114.085,0.21
202608021500,202608021530,23.451,114.104,0.09
202608021500,202608021530,23.451,114.124,0.03
202608021500,202608021530,23.451,114.143,0.00
202608021500,202608021530,23.451,114.163,0.01
202608021500,202608021530,23.451,114.182,0.18
202608021500,202608021530,23.451,114.202,0.33
202608021500,202608021530,23.451,114.221,0.77
202608021500,202608021530,23.451,114.240,1.01
202608021500,202608021530,23.451,114.260,0.29
202608021500,202608021530,23.451,114.279,0.04
202608021500,202608021530,23.451,114.299,0.03
202608021500,202608021530,23.451,114.318,0.04
202608021500,202608021530,23.451,114.338,0.07
202608021500,202608021530,23.451,114.357,0.05
202608021500,202608021530,23.451,114.377,0.03
202608021500,202608021530,23.451,114.396,0.01
202608021500,202608021530,23.451,114.416,0.00
202608021500,202608021530,23.451,114.435,0.00
202608021500,202608021530,23.451,114.454,0.01
202608021500,202608021530,23.451,114.474,0.09
202608021500,202608021530,23.451,114.493,0.17
202608021500,202608021530,23.451,114.513,0.16
202608021500,202608021530,23.451,114.532,0.08
202608021500,202608021530,23.451,114.552,0.05
202608021500,202608021530,23.451,114.571,0.12
202608021500,202608021530,23.451,114.591,0.20
202608021500,202608021530,23.451,114.610,0.16
202608021500,202608021530,23.451,114.630,0.10
202608021500,202608021530,23.451,114.649,0.19
202608021500,202608021530,23.451,114.669,0.53
202608021500,202608021530,23.451,114.688,0.73
202608021500,202608021530,23.451,114.707,0.63
202608021500,202608021530,23.451,114.727,0.43
202608021500,202608021530,23.451,114.746,0.20
202608021500,202608021530,23.451,114.766,0.04
202608021500,202608021530,23.451,114.785,0.00
202608021500,202608021530,23.451,114.805,0.00
202608021500,202608021530,23.451,114.824,0.00
202608021500,202608021530,23.451,114.844,0.00
202608021500,202608021530,23.451,114.863,0.00
202608021500,202608021530,23.451,114.883,0.00
202608021500,202608021530,23.451,114.902,0.00
202608021500,202608021530,23.451,114.921,0.00
202608021500,202608021530,23.451,114.941,0.01
202608021500,202608021530,23.451,114.960,0.00
202608021500,202608021530,23.451,114.980,0.00
202608021500,202608021530,23.451,114.999,0.00
202608021500,202608021530,23.451,115.019,0.00
202608021500,202608021530,23.451,115.038,0.00
202608021500,202608021530,23.451,115.058,0.00
202608021500,202608021530,23.451,115.077,0.01
202608021500,202608021530,23.451,115.097,0.03
202608021500,202608021530,23.451,115.116,0.06
202608021500,202608021530,23.451,115.135,0.16
202608021500,202608021530,23.451,115.155,0.28
202608021500,202608021530,23.451,115.174,0.31
202608021500,202608021530,23.451,115.194,0.23
202608021500,202608021530,23.451,115.213,0.11
202608021500,202608021530,23.451,115.233,0.02
202608021500,202608021530,23.451,115.252,0.00
202608021500,202608021530,23.451,115.272,0.00
202608021500,202608021530,23.451,115.291,0.00
202608021500,202608021530,23.433,112.956,0.06
202608021500,202608021530,23.433,112.976,0.07
202608021500,202608021530,23.433,112.995,0.04
202608021500,202608021530,23.433,113.015,0.04
202608021500,202608021530,23.433,113.034,0.12
202608021500,202608021530,23.433,113.054,0.24
202608021500,202608021530,23.433,113.073,0.29
202608021500,202608021530,23.433,113.093,0.45
202608021500,202608021530,23.433,113.112,0.93
202608021500,202608021530,23.433,113.131,1.28
202608021500,202608021530,23.433,113.151,1.45
202608021500,202608021530,23.433,113.170,1.57
202608021500,202608021530,23.433,113.190,1.10
202608021500,202608021530,23.433,113.209,0.64
202608021500,202608021530,23.433,113.229,0.53
202608021500,202608021530,23.433,113.248,1.05
202608021500,202608021530,23.433,113.268,2.34
202608021500,202608021530,23.433,113.287,2.33
202608021500,202608021530,23.433,113.307,1.08
202608021500,202608021530,23.433,113.326,0.89
202608021500,202608021530,23.433,113.345,1.19
202608021500,202608021530,23.433,113.365,1.72
202608021500,202608021530,23.433,113.384,1.43
202608021500,202608021530,23.433,113.404,0.91
202608021500,202608021530,23.433,113.423,0.70
202608021500,202608021530,23.433,113.443,0.39
202608021500,202608021530,23.433,113.462,0.24
202608021500,202608021530,23.433,113.482,0.26
202608021500,202608021530,23.433,113.501,0.18
202608021500,202608021530,23.433,113.521,0.05
202608021500,202608021530,23.433,113.540,0.06
202608021500,202608021530,23.433,113.560,0.11
202608021500,202608021530,23.433,113.579,0.49
202608021500,202608021530,23.433,113.598,2.02
202608021500,202608021530,23.433,113.618,3.50
202608021500,202608021530,23.433,113.637,3.44
202608021500,202608021530,23.433,113.657,1.74
202608021500,202608021530,23.433,113.676,0.63
202608021500,202608021530,23.433,113.696,0.28
202608021500,202608021530,23.433,113.715,0.07
202608021500,202608021530,23.433,113.735,0.00
202608021500,202608021530,23.433,113.754,0.00
202608021500,202608021530,23.433,113.774,0.00
202608021500,202608021530,23.433,113.793,0.00
202608021500,202608021530,23.433,113.812,0.02
202608021500,202608021530,23.433,113.832,0.05
202608021500,202608021530,23.433,113.851,0.07
202608021500,202608021530,23.433,113.871,0.14
202608021500,202608021530,23.433,113.890,0.29
202608021500,202608021530,23.433,113.910,0.46
202608021500,202608021530,23.433,113.929,0.41
202608021500,202608021530,23.433,113.949,0.57
202608021500,202608021530,23.433,113.968,0.74
202608021500,202608021530,23.433,113.988,0.71
202608021500,202608021530,23.433,114.007,0.46
202608021500,202608021530,23.433,114.026,0.49
202608021500,202608021530,23.433,114.046,0.64
202608021500,202608021530,23.433,114.065,0.54
202608021500,202608021530,23.433,114.085,0.12
202608021500,202608021530,23.433,114.104,0.05
202608021500,202608021530,23.433,114.124,0.02
202608021500,202608021530,23.433,114.143,0.00
202608021500,202608021530,23.433,114.163,0.02
202608021500,202608021530,23.433,114.182,0.09
202608021500,202608021530,23.433,114.202,0.18
202608021500,202608021530,23.433,114.221,0.28
202608021500,202608021530,23.433,114.240,0.18
202608021500,202608021530,23.433,114.260,0.02
202608021500,202608021530,23.433,114.279,0.01
202608021500,202608021530,23.433,114.299,0.00
202608021500,202608021530,23.433,114.318,0.01
202608021500,202608021530,23.433,114.338,0.01
202608021500,202608021530,23.433,114.357,0.01
202608021500,202608021530,23.433,114.377,0.01
202608021500,202608021530,23.433,114.396,0.00
202608021500,202608021530,23.433,114.416,0.00
202608021500,202608021530,23.433,114.435,0.00
202608021500,202608021530,23.433,114.454,0.00
202608021500,202608021530,23.433,114.474,0.04
202608021500,202608021530,23.433,114.493,0.10
202608021500,202608021530,23.433,114.513,0.10
202608021500,202608021530,23.433,114.532,0.07
202608021500,202608021530,23.433,114.552,0.08
202608021500,202608021530,23.433,114.571,0.16
202608021500,202608021530,23.433,114.591,0.24
202608021500,202608021530,23.433,114.610,0.17
202608021500,202608021530,23.433,114.630,0.05
202608021500,202608021530,23.433,114.649,0.08
202608021500,202608021530,23.433,114.669,0.34
202608021500,202608021530,23.433,114.688,0.53
202608021500,202608021530,23.433,114.707,0.62
202608021500,202608021530,23.433,114.727,0.62
202608021500,202608021530,23.433,114.746,0.30
202608021500,202608021530,23.433,114.766,0.07
202608021500,202608021530,23.433,114.785,0.02
202608021500,202608021530,23.433,114.805,0.01
202608021500,202608021530,23.433,114.824,0.00
202608021500,202608021530,23.433,114.844,0.00
202608021500,202608021530,23.433,114.863,0.00
202608021500,202608021530,23.433,114.883,0.00
202608021500,202608021530,23.433,114.902,0.00
202608021500,202608021530,23.433,114.921,0.00
202608021500,202608021530,23.433,114.941,0.00
202608021500,202608021530,23.433,114.960,0.00
202608021500,202608021530,23.433,114.980,0.00
202608021500,202608021530,23.433,114.999,0.00
202608021500,202608021530,23.433,115.019,0.00
202608021500,202608021530,23.433,115.038,0.00
202608021500,202608021530,23.433,115.058,0.00
202608021500,202608021530,23.433,115.077,0.00
202608021500,202608021530,23.433,115.097,0.00
202608021500,202608021530,23.433,115.116,0.01
202608021500,202608021530,23.433,115.135,0.05
202608021500,202608021530,23.433,115.155,0.15
202608021500,202608021530,23.433,115.174,0.19
202608021500,202608021530,23.433,115.194,0.15
202608021500,202608021530,23.433,115.213,0.06
202608021500,202608021530,23.433,115.233,0.01
202608021500,202608021530,23.433,115.252,0.00
202608021500,202608021530,23.433,115.272,0.00
202608021500,202608021530,23.433,115.291,0.00
202608021500,202608021530,23.415,112.956,0.00
202608021500,202608021530,23.415,112.976,0.00
202608021500,202608021530,23.415,112.995,0.00
202608021500,202608021530,23.415,113.015,0.00
202608021500,202608021530,23.415,113.034,0.03
202608021500,202608021530,23.415,113.054,0.12
202608021500,202608021530,23.415,113.073,0.17
202608021500,202608021530,23.415,113.093,0.34
202608021500,202608021530,23.415,113.112,1.06
202608021500,202608021530,23.415,113.131,0.91
202608021500,202608021530,23.415,113.151,0.40
202608021500,202608021530,23.415,113.170,0.39
202608021500,202608021530,23.415,113.190,0.31
202608021500,202608021530,23.415,113.209,0.28
202608021500,202608021530,23.415,113.229,0.45
202608021500,202608021530,23.415,113.248,0.76
202608021500,202608021530,23.415,113.268,0.90
202608021500,202608021530,23.415,113.287,0.75
202608021500,202608021530,23.415,113.307,0.44
202608021500,202608021530,23.415,113.326,0.38
202608021500,202608021530,23.415,113.345,0.56
202608021500,202608021530,23.415,113.365,0.84
202608021500,202608021530,23.415,113.384,1.03
202608021500,202608021530,23.415,113.404,0.84
202608021500,202608021530,23.415,113.423,0.59
202608021500,202608021530,23.415,113.443,0.29
202608021500,202608021530,23.415,113.462,0.16
202608021500,202608021530,23.415,113.482,0.21
202608021500,202608021530,23.415,113.501,0.16
202608021500,202608021530,23.415,113.521,0.01
202608021500,202608021530,23.415,113.540,0.01
202608021500,202608021530,23.415,113.560,0.01
202608021500,202608021530,23.415,113.579,0.01
202608021500,202608021530,23.415,113.598,0.48
202608021500,202608021530,23.415,113.618,1.26
202608021500,202608021530,23.415,113.637,1.29
202608021500,202608021530,23.415,113.657,0.52
202608021500,202608021530,23.415,113.676,0.19
202608021500,202608021530,23.415,113.696,0.17
202608021500,202608021530,23.415,113.715,0.08
202608021500,202608021530,23.415,113.735,0.00
202608021500,202608021530,23.415,113.754,0.00
202608021500,202608021530,23.415,113.774,0.00
202608021500,202608021530,23.415,113.793,0.00
202608021500,202608021530,23.415,113.812,0.00
202608021500,202608021530,23.415,113.832,0.01
202608021500,202608021530,23.415,113.851,0.01
202608021500,202608021530,23.415,113.871,0.01
202608021500,202608021530,23.415,113.890,0.03
202608021500,202608021530,23.415,113.910,0.10
202608021500,202608021530,23.415,113.929,0.16
202608021500,202608021530,23.415,113.949,0.21
202608021500,202608021530,23.415,113.968,0.33
202608021500,202608021530,23.415,113.988,0.44
202608021500,202608021530,23.415,114.007,0.41
202608021500,202608021530,23.415,114.026,0.61
202608021500,202608021530,23.415,114.046,0.70
202608021500,202608021530,23.415,114.065,0.44
202608021500,202608021530,23.415,114.085,0.02
202608021500,202608021530,23.415,114.104,0.00
202608021500,202608021530,23.415,114.124,0.00
202608021500,202608021530,23.415,114.143,0.00
202608021500,202608021530,23.415,114.163,0.02
202608021500,202608021530,23.415,114.182,0.08
202608021500,202608021530,23.415,114.202,0.17
202608021500,202608021530,23.415,114.221,0.37
202608021500,202608021530,23.415,114.240,0.30
202608021500,202608021530,23.415,114.260,0.02
202608021500,202608021530,23.415,114.279,0.00
202608021500,202608021530,23.415,114.299,0.00
202608021500,202608021530,23.415,114.318,0.00
202608021500,202608021530,23.415,114.338,0.01
202608021500,202608021530,23.415,114.357,0.02
202608021500,202608021530,23.415,114.377,0.02
202608021500,202608021530,23.415,114.396,0.00
202608021500,202608021530,23.415,114.416,0.00
202608021500,202608021530,23.415,114.435,0.00
202608021500,202608021530,23.415,114.454,0.00
202608021500,202608021530,23.415,114.474,0.00
202608021500,202608021530,23.415,114.493,0.01
202608021500,202608021530,23.415,114.513,0.03
202608021500,202608021530,23.415,114.532,0.06
202608021500,202608021530,23.415,114.552,0.11
202608021500,202608021530,23.415,114.571,0.20
202608021500,202608021530,23.415,114.591,0.26
202608021500,202608021530,23.415,114.610,0.16
202608021500,202608021530,23.415,114.630,0.06
202608021500,202608021530,23.415,114.649,0.07
202608021500,202608021530,23.415,114.669,0.17
202608021500,202608021530,23.415,114.688,0.31
202608021500,202608021530,23.415,114.707,0.53
202608021500,202608021530,23.415,114.727,0.64
202608021500,202608021530,23.415,114.746,0.31
202608021500,202608021530,23.415,114.766,0.09
202608021500,202608021530,23.415,114.785,0.06
202608021500,202608021530,23.415,114.805,0.03
202608021500,202608021530,23.415,114.824,0.01
202608021500,202608021530,23.415,114.844,0.00
202608021500,202608021530,23.415,114.863,0.00
202608021500,202608021530,23.415,114.883,0.00
202608021500,202608021530,23.415,114.902,0.00
202608021500,202608021530,23.415,114.921,0.00
202608021500,202608021530,23.415,114.941,0.00
202608021500,202608021530,23.415,114.960,0.00
202608021500,202608021530,23.415,114.980,0.00
202608021500,202608021530,23.415,114.999,0.00
202608021500,202608021530,23.415,115.019,0.00
202608021500,202608021530,23.415,115.038,0.00
202608021500,202608021530,23.415,115.058,0.00
202608021500,202608021530,23.415,115.077,0.00
202608021500,202608021530,23.415,115.097,0.00
202608021500,202608021530,23.415,115.116,0.00
202608021500,202608021530,23.415,115.135,0.00
202608021500,202608021530,23.415,115.155,0.03
202608021500,202608021530,23.415,115.174,0.05
202608021500,202608021530,23.415,115.194,0.04
202608021500,202608021530,23.415,115.213,0.01
202608021500,202608021530,23.415,115.233,0.01
202608021500,202608021530,23.415,115.252,0.01
202608021500,202608021530,23.415,115.272,0.00
202608021500,202608021530,23.415,115.291,0.00
202608021500,202608021530,23.397,112.956,0.00
202608021500,202608021530,23.397,112.976,0.00
202608021500,202608021530,23.397,112.995,0.00
202608021500,202608021530,23.397,113.015,0.00
202608021500,202608021530,23.397,113.034,0.00
202608021500,202608021530,23.397,113.054,0.02
202608021500,202608021530,23.397,113.073,0.05
202608021500,202608021530,23.397,113.093,0.17
202608021500,202608021530,23.397,113.112,0.40
202608021500,202608021530,23.397,113.131,0.24
202608021500,202608021530,23.397,113.151,0.05
202608021500,202608021530,23.397,113.170,0.06
202608021500,202608021530,23.397,113.190,0.09
202608021500,202608021530,23.397,113.209,0.19
202608021500,202608021530,23.397,113.229,0.40
202608021500,202608021530,23.397,113.248,0.59
202608021500,202608021530,23.397,113.268,0.56
202608021500,202608021530,23.397,113.287,0.40
202608021500,202608021530,23.397,113.307,0.27
202608021500,202608021530,23.397,113.326,0.38
202608021500,202608021530,23.397,113.345,1.06
202608021500,202608021530,23.397,113.365,3.33
202608021500,202608021530,23.397,113.384,3.52
202608021500,202608021530,23.397,113.404,2.05
202608021500,202608021530,23.397,113.423,1.11
